EVSE ID,Charging Venue,Latitude,Longitude,Station Name,Address 1,City,State/Province,Zip/Postal Code,County,Port Type,Port Number
15694171,HWY,36.316124,-82.349937,BRIGHTRIDGE EV / STATION 1 (L),110 Cherry Street,Johnson City,Tennessee,37601,Washington County,DC Fast,1A
13423691,Leisure,36.343761,-83.269989,AEC / STATION #1 (L),1171 US-11W,Bean Station,Tennessee,37708,Grainger County,DC Fast,1A
15332351,Shopping,35.361801,-86.209717,TUA NW ATLANTIC / STATION 2 (R),114 SW Atlantic St.,Tullahoma,Tennessee,37388,Coffee County,DC Fast,1A
13292801,HWY,35.010876,-85.703247,LODGE CAST IRON / STORE & MUSEUM,220 East 3rd St,South Pittsburg,Tennessee,37380,Marion County,Level 2,2
5565241,Leisure,35.799477,-83.561592,7SPC / SCES LECONTE 4,2925 Teaster Ln,Pigeon Forge,Tennessee,37863,Sevier County,Level 2,2
7173851,Office,34.67292,-86.029945,SCOTTSBORO EPB / MAIN OFFICE,404 East Willow Street,Scottsboro,Alabama,35768,Jackson County,Level 2,1
5603971,Office,36.571091,-85.133438,7SPC / VEC BYRDSTOWN,300 W Main St,Byrdstown,Tennessee,38549,Pickett County,Level 2,2
5380331,Shopping,34.175587,-86.841537,CULLMAN PB / STATION 1,304 1st Ave NE,Cullman,Alabama,35055,Cullman County,Level 2,1
15332321,Shopping,35.361801,-86.209702,TUA NW ATLANTIC / STATION 1 (L),114 SW Atlantic St,Tullahoma,Tennessee,37388,Coffee County,DC Fast,1A
13664471,Shopping,36.591862,-82.261597,BTES / STATION 3 (RM),392 Pinnacle Pkwy,Bristol,Tennessee,37620,Sullivan County,DC Fast,1A
12460751,Leisure,35.198219,-87.031822,PES / LEFT STATION,128 S 1st St,Pulaski,Tennessee,38478,Giles County,Level 2,1
14337221,HWY,36.517365,-82.707458,HOLSTONELECTRIC / CHURCH HILL-1,219 S Central Ave,Church Hill,Tennessee,37642,Hawkins County,DC Fast,1A
15250771,Office,35.962025,-85.812798,SES-TN / STATION 1,106 N 3rd Street,Smithville,Tennessee,37166,DeKalb County,DC Fast,1A
13643801,HWY,34.295979,-88.969414,PEPA / STATION 2,3600 MS-9,Pontotoc,Mississippi,38863,Pontotoc County,DC Fast,1A
15640031,HWY,34.85289,-89.689873,NECDC / STATION 1 (L),101 Dempsey Rd.,Byhalia,Mississippi,38611,Marshall County,DC Fast,1A
14359531,Office,34.358799,-86.294899,EBOFG / STATION 2 (R),440 Old Town Street,Guntersville,Alabama,35976,Marshall County,DC Fast,1B
12989161,Office,36.592937,-82.187958,BTES / CITY HALL,835 Anderson St,Bristol,Tennessee,37620,Sullivan County,Level 2,2
14083171,Edu,35.440834,-88.639297,STEMC / STATION 1 (L) H,171 E Main St,Henderson,Tennessee,38340,Chester County,DC Fast,1B
14025691,Edu,36.301228,-88.327324,PARIS BPU / STATION 1(L),109 S Fentress St,Paris,Tennessee,38242,Henry County,DC Fast,1B
15260251,Hotel,35.449619,-89.78064,STEMC / STATION 2 (R) A,10772 U.S. 51,Atoka,Tennessee,38004,Tipton County,DC Fast,1A
15260241,Hotel,35.449581,-89.780579,STEMC / STATION 1 (L) A,10772 US-51,Atoka,Tennessee,38004,Tipton County,DC Fast,1A
14355271,Edu,34.444057,-86.935623,HARTSELLE 1 / STATION 1 (L),214 Chestnut St NW,Hartselle,Alabama,35640,Morgan County,DC Fast,1A
7505851,Leisure,34.367867,-89.519547,JEFFERSON AVE. / OXFORD STA1(L),1102 Jefferson Avenue,Oxford,Mississippi,38655,Lafayette County,DC Fast,1A
682921,Hotel,35.040119,-85.309135,7SPC / TVPPA OFFICE,1210 Broad Street,Chattanooga,Tennessee,37402,Hamilton County,Level 2,2
15293211,Office,35.611927,-88.834602,TRNG CENTER / TRAININGCENTER1,320 U.S. 45 Bypass,Jackson,Tennessee,38301,Madison County,Level 2,2
1921531,Leisure,33.441528,-88.829903,STARKVILLE UTIL / STARKVILLE REC,405 Lynn Ln,Starkville,Mississippi,39759,Oktibbeha County,Level 2,1
1785631,Office,36.400299,-83.018456,HOLSTONELECTRIC / STATION 1,1200 W Main St,Rogersville,Tennessee,37857,Hawkins County,Level 2,2
5565191,Edu,35.795963,-83.537933,7SPC / DOLLYWOOD EMPL,1022 Dollywood Ln,Pigeon Forge,Tennessee,37863,Sevier County,Level 2,1
5414151,Shopping,36.266594,-85.958633,7SPC / UC - CARTHAGE,84 Dixon Springs Hwy,Carthage,Tennessee,37030,Smith County,Level 2,2
12448521,Office,37.482788,-86.27993,7SPC / WARREN RECC LF,107 Electric Avenue,Leitchfield,Kentucky,42754,Grayson County,Level 2,1
5350831,Office,34.197895,-86.830193,CULLMANELECTRIC / CEC MAIN OFFICE,1749 Eva Rd NE,Cullman,Alabama,35055,Cullman County,Level 2,1
12676411,HWY,34.385109,-89.494995,NEMEPA / NEMEPA CUSTOMER,10 Private Rd 2050,Oxford,Mississippi,38655,Lafayette County,Level 2,2
13880891,Office,36.212704,-83.29641,MU / MUC MAIN OFFICE,433 W 1st N St,Morristown,Tennessee,37814,Hamblen County,Level 2,1
15684341,HWY,36.083202,-87.797775,MLEC / STATION 2 (R) W,210 West Main St,Waverly,Tennessee,37185,Humphreys County,DC Fast,1A
12460811,Shopping,35.198193,-87.03183,PES / RIGHT STATION,128 S 1st St,Pulaski,Tennessee,38478,Giles County,Level 2,1
9745721,Leisure,34.202984,-86.804886,CRMC / CRMC-1 - L2LEFT,POB2 Parking Lot - Station 1,Cullman,Alabama,35058,Cullman County,Level 2,1
5498461,Office,35.746964,-85.458412,7SPC / CFEC SPENCER,430 Spring St,Spencer,Tennessee,38585,Van Buren County,Level 2,2
5565201,Leisure,35.79953,-83.561417,7SPC / SCES LECONTE 2,2925 Teaster Ln,Pigeon Forge,Tennessee,37863,Sevier County,Level 2,1
5525971,Shopping,35.924793,-85.465202,7SPC / SPARTA TN,5 W Maple St,Sparta,Tennessee,38583,White County,Level 2,2
13618361,Office,36.19479,-83.309204,MU / MUC PWRENG BLDG,919 Jarnigan Avenue,Morristown,Tennessee,37813,Hamblen County,Level 2,1
15815141,HWY,36.173256,-82.837776,GEA-1 / STATION 1 (L),885 W Andrew Johnson Hwy,Greeneville,Tennessee,37745,Greene County,DC Fast,1A
13651631,Hotel,35.546932,-87.552597,MLEC / STATION 2 (R) H,28 S Park Ave,Hohenwald,Tennessee,38462,Lewis County,DC Fast,1A
15684301,HWY,36.082703,-87.797638,MLEC / STATION 1 (L) W,210 West Main St,Waverly,Tennessee,37185,Humphreys County,DC Fast,1A
14049761,Shopping,36.301239,-88.327347,PARIS BPU / STATION 2(R),109 S Fentress St,Paris,Tennessee,38242,Henry County,DC Fast,1A
15555831,Office,35.15205,-86.571404,FPU / STATION 2 (R),110 College Street West,Fayetteville,Tennessee,37334,Lincoln County,DC Fast,1A
13651611,Hotel,35.54694,-87.552681,MLEC / STATION 1 (L) H,28 S Park Ave,Hohenwald,Tennessee,38462,Lewis County,DC Fast,1A
12676071,HWY,34.385387,-89.494637,NEMEPA / NEMEPA EMPLOYEE,10 Private Rd 2050,Oxford,Mississippi,38655,Lafayette County,Level 2,1
15728901,HWY,36.033649,-83.429108,AEC / AEC04,760 Justice Center Drive,Dandridge,Tennessee,37725,Jefferson County,Level 2,2
13164881,Shopping,36.591827,-82.261559,BTES / STATION 2 (LM),392 Pinnacle Pkwy,Bristol,Tennessee,37620,Sullivan County,DC Fast,1A
13643831,HWY,34.295948,-88.969414,PEPA / STATION 1,3600 MS-9,Pontotoc,Mississippi,38863,Pontotoc County,DC Fast,1A
12988591,Office,36.531914,-82.247162,BTES / BTES OFFICE,2460 Volunteer Pkwy,Bristol,Tennessee,37620,Sullivan County,Level 2,1
12961511,Leisure,35.176746,-84.864532,EASY AUTO / SHOP1,100 25th St NW,Cleveland,Tennessee,37311,Bradley County,Level 2,1
5506341,Office,35.962002,-85.812775,7SPC / SMITHVILLE,201 E Church Street,Smithville,Tennessee,37166,DeKalb County,Level 2,2
