delta_days,cs_pos_mae,cs_pos_samples,avg_gate,pos_mae,auprc
7,0.26665621995925903,264,0.3384437,0.5553849935531616,0.2416627668198689
14,0.2586525082588196,562,0.33931923,0.5553849935531616,0.2416627668198689
21,0.26694783568382263,900,0.34091946,0.5553849935531616,0.2416627668198689
30,0.2560115456581116,1472,0.34348103,0.5553849935531616,0.2416627668198689
