station_id,open_time,last_time,total_sessions,total_energy_kwh,num_evses,provider,latitude,longitude,city,state,station_name,operational_days,operational_years
CP_I24_EXIT11_STATION_3_RM,2024-06-18 12:23:00.000,2025-11-09 21:10:00.000,1081,33037.401,1,ChargePoint,36.523891,-87.223343,Clarksville,Tennessee,I24 EXIT11 / STATION 3 (RM),509,1.3935660506502396
CP_I24_EXIT11_STATION_4_RR,2024-06-18 18:12:00.000,2025-11-09 20:13:00.000,1868,57583.444,1,ChargePoint,36.523895,-87.223366,Clarksville,Tennessee,I24 EXIT11 / STATION 4 (RR),509,1.3935660506502396
CP_LAWRENCEBURG_STATION_1_L,2024-06-14 15:16:00.000,2025-11-09 14:07:00.000,434,13196.79,1,ChargePoint,35.193836,-87.340424,Leoma,Tennessee,LAWRENCEBURG / STATION 1 (L),512,1.4017796030116358
CP_LAWRENCEBURG_STATION_2_R,2024-06-17 13:57:00.000,2025-11-09 11:26:00.000,541,16620.225,1,ChargePoint,35.193806,-87.340462,Leoma,Tennessee,LAWRENCEBURG / STATION 2 (R),509,1.3935660506502396
CP_MES1_STATION_1_L,2025-03-16 12:26:00.000,2025-11-06 15:21:00.000,41,928.319,1,ChargePoint,35.700142,-85.742783,McMinnville,Tennessee,MES1 / STATION 1 (L),235,0.6433949349760438
CP_MES1_STATION_2_R,2025-03-21 18:36:00.000,2025-11-08 19:36:00.000,69,1844.986,1,ChargePoint,35.70145,-85.742897,McMinnville,Tennessee,MES1 / STATION 2 (R),232,0.6351813826146475
CP_MLEC_STATION_1_L_H,2024-07-14 16:11:00.000,2025-11-08 17:01:00.000,192,6225.366,1,ChargePoint,35.54694,-87.552681,Hohenwald,Tennessee,MLEC / STATION 1 (L) H,482,1.319644079397673
CP_MLEC_STATION_1_L_W,2024-12-26 17:49:00.000,2025-11-07 21:10:00.000,165,5855.972,1,ChargePoint,36.082703,-87.797638,Waverly,Tennessee,MLEC / STATION 1 (L) W,316,0.865160848733744
CP_MLEC_STATION_2_R_H,2024-06-23 16:38:00.000,2025-11-09 10:04:00.000,301,7674.045,1,ChargePoint,35.546928,-87.552589,Hohenwald,Tennessee,MLEC / STATION 2 (R) H,503,1.377138945927447
CP_MLEC_STATION_2_R_W,2024-12-30 21:55:00.000,2025-11-05 10:27:00.000,168,6130.992,1,ChargePoint,36.083202,-87.797775,Waverly,Tennessee,MLEC / STATION 2 (R) W,309,0.8459958932238193
CP_MU_STATION_1_L,2025-10-20 15:24:00.000,2025-11-08 12:29:00.000,22,914.3109999999999,1,ChargePoint,36.142998,-83.279999,Morristown,Tennessee,MU / STATION 1 (L),18,0.049281314168377825
CP_NECDC_STATION_1_L,2024-12-22 18:15:00.000,2025-11-09 18:24:00.000,617,22441.118,1,ChargePoint,34.851841,-89.688194,Byhalia,Mississippi,NECDC / STATION 1 (L),322,0.8815879534565366
CP_NECDC_STATION_2_R,2024-12-21 20:31:00.000,2025-11-09 14:02:00.000,552,19082.005,1,ChargePoint,34.852898,-89.689774,Byhalia,Mississippi,NECDC / STATION 2 (R),322,0.8815879534565366
CP_OXFORD_UTL_OXFORD_STA1L,2024-08-22 17:05:00.000,2025-11-09 20:02:00.000,1328,48495.913,1,ChargePoint,34.367867,-89.519547,Oxford,Mississippi,OXFORD UTL / OXFORD STA1(L),444,1.215605749486653
CP_OXFORD_UTL_OXFORD_STA2R,2024-08-21 18:32:00.000,2025-11-09 17:32:00.000,1617,54577.392,1,ChargePoint,34.367966,-89.519547,Oxford,Mississippi,OXFORD UTL / OXFORD STA2(R),444,1.215605749486653
CP_PARIS_BPU_STATION_1L,2024-08-23 18:59:00.000,2025-11-05 17:22:00.000,214,7411.089,1,ChargePoint,36.301228,-88.327324,Paris,Tennessee,PARIS BPU / STATION 1(L),438,1.1991786447638604
CP_PARIS_BPU_STATION_2R,2024-08-23 18:32:00.000,2025-11-05 06:34:00.000,235,7174.786,1,ChargePoint,36.301239,-88.327347,Paris,Tennessee,PARIS BPU / STATION 2(R),438,1.1991786447638604
CP_PEPA_STATION_1,2024-07-02 13:18:00.000,2025-11-10 04:34:00.000,554,21169.477,1,ChargePoint,34.295948,-88.969414,Pontotoc,Mississippi,PEPA / STATION 1,495,1.3552361396303902
CP_PEPA_STATION_2,2024-07-01 16:29:00.000,2025-11-09 11:41:00.000,437,15460.831,1,ChargePoint,34.295979,-88.969414,Pontotoc,Mississippi,PEPA / STATION 2,495,1.3552361396303902
CP_SCOTTSBORO_EPB_SEPB_DCFC_L,2024-09-05 17:06:00.000,2025-11-05 15:24:00.000,469,12699.281,1,ChargePoint,34.673004,-86.029945,Scottsboro,Alabama,SCOTTSBORO EPB / SEPB DCFC (L),425,1.163586584531143
CP_SCOTTSBORO_EPB_SEPB_DCFC_R,2024-09-05 16:48:00.000,2025-11-09 12:30:00.000,654,20682.675,1,ChargePoint,34.673115,-86.030121,Scottsboro,Alabama,SCOTTSBORO EPB / SEPB DCFC (R),429,1.1745379876796715
CP_SES-TN_STATION_1,2024-10-21 16:42:00.000,2025-11-08 17:30:00.000,111,3235.51,1,ChargePoint,35.962025,-85.812798,Smithville,Tennessee,SES-TN / STATION 1,383,1.0485968514715949
CP_SES-TN_STATION_2,2024-10-24 13:58:00.000,2025-11-09 17:35:00.000,111,4161.155,1,ChargePoint,35.96196,-85.812782,Smithville,Tennessee,SES-TN / STATION 2,381,1.0431211498973305
CP_SPRFLD_ELECTRIC_STATION_1_L,2024-12-09 10:32:00.000,2025-11-09 09:24:00.000,288,6904.593,1,ChargePoint,36.510567,-86.8853,Springfield,Tennessee,SPRFLD ELECTRIC / STATION 1 (L),334,0.9144421629021219
CP_SPRFLD_ELECTRIC_STATION_2_R,2024-12-21 23:42:00.000,2025-11-09 10:29:00.000,235,8225.113,1,ChargePoint,36.510609,-86.885162,Springfield,Tennessee,SPRFLD ELECTRIC / STATION 2 (R),322,0.8815879534565366
CP_STARKVILLE_UTIL_STATION_1_L,2025-04-26 02:28:00.000,2025-11-10 01:05:00.000,324,11417.869,1,ChargePoint,33.462845,-88.814827,Starkville,Mississippi,STARKVILLE UTIL / STATION 1 (L),197,0.5393566050650239
CP_STARKVILLE_UTIL_STATION_2_R,2025-04-29 09:10:00.000,2025-11-09 09:08:00.000,366,12942.669,1,ChargePoint,33.462845,-88.814766,Starkville,Mississippi,STARKVILLE UTIL / STATION 2 (R),193,0.5284052019164955
CP_STEMC_STATION_1_L_A,2024-11-29 14:26:00.000,2025-11-09 14:30:00.000,236,8458.35,1,ChargePoint,35.449894,-89.780449,Atoka,Tennessee,STEMC / STATION 1 (L) A,345,0.944558521560575
CP_STEMC_STATION_1_L_H,2024-12-03 13:16:00.000,2025-11-09 16:18:00.000,228,7652.95,1,ChargePoint,35.440834,-88.639297,Henderson,Tennessee,STEMC / STATION 1 (L) H,341,0.9336071184120466
CP_STEMC_STATION_2_R_A,2024-11-27 13:14:00.000,2025-11-07 13:37:00.000,235,9201.658,1,ChargePoint,35.449619,-89.78064,Millington,Tennessee,STEMC / STATION 2 (R) A,345,0.944558521560575
CP_STEMC_STATION_2_R_H,2024-08-29 07:08:00.000,2025-11-06 12:01:00.000,162,5188.977,2,ChargePoint,35.440849,-88.639252,Henderson,Tennessee,STEMC / STATION 2 (R) H,434,1.1882272416153319
CP_SVEC_KIMBALL_1_L,2025-05-05 11:08:00.000,2025-11-09 17:21:00.000,228,6065.07,1,ChargePoint,35.04393,-85.678963,Kimball,Tennessee,SVEC / KIMBALL 1 (L),188,0.5147159479808351
CP_SVEC_KIMBALL_2_R,2025-04-25 18:09:00.000,2025-11-10 08:33:00.000,246,7480.632,1,ChargePoint,35.043957,-85.679008,Kimball,Tennessee,SVEC / KIMBALL 2 (R),198,0.5420944558521561
CP_TOMBIGBEE_STATION_1,2025-04-05 18:38:00.000,2025-11-09 18:27:00.000,363,15446.162,1,ChargePoint,34.299221,-88.705315,Tupelo,Mississippi,TOMBIGBEE / STATION 1,217,0.5941136208076659
CP_TOMBIGBEE_STATION_2,2025-04-06 11:20:00.000,2025-11-09 11:05:00.000,209,8091.308,1,ChargePoint,34.299278,-88.705315,Tupelo,Mississippi,TOMBIGBEE / STATION 2,216,0.5913757700205339
CP_TOMBIGBEE_STATION_3,2025-02-24 16:33:00.000,2025-11-10 08:20:00.000,366,13895.597,1,ChargePoint,34.299389,-88.705193,Tupelo,Mississippi,TOMBIGBEE / STATION 3,258,0.7063655030800822
CP_TOMBIGBEE_STATION_4,2025-02-27 14:12:00.000,2025-11-09 14:23:00.000,479,19327.213,1,ChargePoint,34.299397,-88.705261,Tupelo,Mississippi,TOMBIGBEE / STATION 4,255,0.6981519507186859
CP_TTU_TTU_DC_FAST_1,2022-08-10 09:28:00.000,2025-11-09 18:23:00.000,1459,36789.891,1,ChargePoint,36.176765,-85.511383,Cookeville,Tennessee,TTU / TTU DC FAST 1,1187,3.249828884325804
