station_id,hour,energy_kwh,session_count,evses_active,provider,latitude,longitude,city,state,station_name
CP_4-COUNTY_EPA_STATION_1_L,2025-07-28 19:00:00,61.467,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-07-29 17:00:00,72.541,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-07-30 13:00:00,45.843,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-07-30 16:00:00,15.534,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-07-30 19:00:00,15.98,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-08-03 13:00:00,65.372,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-08-05 12:00:00,43.275,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-08-05 18:00:00,22.524,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-08-08 08:00:00,62.743,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-08-09 09:00:00,24.731,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-08-10 12:00:00,48.025999999999996,2,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-08-10 16:00:00,48.992000000000004,2,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-08-12 15:00:00,17.157,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-08-12 19:00:00,19.832,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-08-15 17:00:00,72.256,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-08-16 15:00:00,75.028,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-08-16 17:00:00,24.395,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-08-17 17:00:00,31.212,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-08-18 13:00:00,55.013,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-08-18 18:00:00,31.771,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-08-20 17:00:00,25.987,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-08-21 11:00:00,65.223,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-08-22 05:00:00,15.149,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-08-22 11:00:00,16.811,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-08-23 11:00:00,39.045,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-08-24 03:00:00,39.231,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-08-25 00:00:00,50.395,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-08-25 13:00:00,21.501,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-08-25 17:00:00,49.348,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-08-25 19:00:00,137.684,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-08-27 12:00:00,23.748,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-08-27 17:00:00,39.945,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-08-31 11:00:00,9.306,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-08-31 14:00:00,31.671,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-09-01 13:00:00,43.925,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-09-03 19:00:00,47.093,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-09-06 08:00:00,29.53,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-09-07 09:00:00,37.994,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-09-07 13:00:00,33.306,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-09-07 20:00:00,18.542,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-09-07 21:00:00,114.951,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-09-08 10:00:00,46.107,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-09-08 12:00:00,36.504,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-09-08 14:00:00,9.846,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-09-09 23:00:00,54.976,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-09-10 14:00:00,41.909,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-09-12 01:00:00,39.297,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-09-13 14:00:00,33.506,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-09-13 16:00:00,49.081,2,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-09-14 13:00:00,17.978,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-09-14 19:00:00,86.492,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-09-15 09:00:00,10.691,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-09-19 14:00:00,16.38,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-09-20 16:00:00,21.053,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-09-20 22:00:00,37.395,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-09-22 20:00:00,4.186,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-09-25 20:00:00,33.004,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-09-28 22:00:00,62.081,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-10-01 09:00:00,30.762,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-10-02 10:00:00,31.472,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-10-04 14:00:00,68.269,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-10-10 08:00:00,119.993,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-10-10 19:00:00,57.459,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-10-10 21:00:00,38.178,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-10-12 12:00:00,34.83,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-10-12 17:00:00,130.3,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-10-15 06:00:00,8.558,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-10-16 09:00:00,64.086,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-10-16 16:00:00,35.606,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
CP_4-COUNTY_EPA_STATION_1_L,2025-10-16 18:00:00,50.248,1,1,ChargePoint,33.540657,-89.134163,Mathiston,Mississippi,4-COUNTY EPA / STATION 1 (L)
